Region,Site,Latitude,Longitude,RSL,Age,Age_err,RSL_err,AgeError,RSLError
North Carolina,Cedar Island,34.971,-76.38,-1.31,895,49,0.06,49,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.33,860,44.75,0.06,44.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.35,818,45,0.06,45,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.37,789,44.75,0.06,44.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.39,763,43.75,0.06,43.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.42,725,41.25,0.06,41.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.46,672,36.75,0.06,36.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.5,623,15.25,0.06,15.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.54,604,18.5,0.06,18.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.58,586,26.25,0.06,26.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.62,568,32.25,0.06,32.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.66,505,64.75,0.06,64.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.7,434,75.25,0.06,75.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.73,381,78.5,0.06,78.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.75,346,79.5,0.06,79.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.77,312,79.75,0.06,79.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.79,278,78.5,0.06,78.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.82,229,74.5,0.06,74.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.86,153,55.5,0.06,55.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.9,100,37.25,0.06,37.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.94,73,35.5,0.06,35.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.98,46,33,0.06,33,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.02,15,27.5,0.06,27.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.06,-50,41,0.06,41,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.1,-112,42.5,0.06,42.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.12,-143,44,0.06,44,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.14,-174,46,0.06,46,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.16,-211,40.25,0.06,40.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.18,-270,26.25,0.06,26.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.2,-333,35,0.06,35,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.24,-525,65,0.06,65,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.28,-661,47.75,0.06,47.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.32,-731,36.25,0.06,36.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.36,-800,65.25,0.06,65.25,0.06
